Unique_client_ID,Race/Ethnicity,Gender,Age_group_at_assessment,TOTAL_SCORE,Housing_destination,is_perm_housed,Gender_Female,Race_Black,Race_Latino,Race_Asian,Age_Youth,Age_GenX,Age_Boomer,HISTORY_SUB_SCORE,RISKS_SUB_SCORE,SOCIALIZATION_SUB_SCORE,WELLNESS_SUB_SCORE,Housing_status,y_proba
30880,Black,Male,,2,Permanently Housed,1,0,1,0,0,0,0,0,1,0,1,0,1,0.22354876
30881,White,Male,45-59,12,Permanently Housed,1,0,0,0,0,0,1,0,2,4,3,3,1,0.20272996
30882,Black,Female,45-59,4,Permanently Housed,1,1,1,0,0,0,1,0,1,0,1,2,1,0.31336102
30885,Black,Male,45-59,11,Permanently Housed,1,0,1,0,0,0,1,0,2,0,4,5,1,0.4402574
30891,Black,Male,,0,Permanently Housed,1,0,1,0,0,0,0,0,0,0,0,0,1,0.33541873
30904,Latino,Female,45-59,6,Permanently Housed,1,1,0,1,0,0,1,0,1,1,2,2,1,0.19681247
30908,Black,Male,45-59,8,Permanently Housed,1,0,1,0,0,0,1,0,2,2,2,2,1,0.23380189
30913,Black,Male,45-59,2,Permanently Housed,1,0,1,0,0,0,1,0,1,1,0,0,1,0.3575849
30918,White,Male,45-59,4,Permanently Housed,1,0,0,0,0,0,1,0,1,0,0,3,1,0.21620707
30928,Black,Male,45-59,13,Permanently Housed,1,0,1,0,0,0,1,0,2,3,2,6,1,0.22197632
30929,Black,Male,45-59,10,Permanently Housed,1,0,1,0,0,0,1,0,1,4,4,1,1,0.21259604
30931,Black,Male,,9,Permanently Housed,1,0,1,0,0,0,0,0,2,2,3,2,1,0.14346594
30942,White,Male,45-59,9,Permanently Housed,1,0,0,0,0,0,1,0,1,4,2,2,1,0.21677862
30946,Black,Female,,9,Permanently Housed,1,1,1,0,0,0,0,0,2,0,3,4,1,0.2208664
30957,Latino,Male,18-24,2,Permanently Housed,1,0,0,1,0,1,0,0,1,0,1,0,1,0.24838866
30960,White,Female,60+,12,Permanently Housed,1,1,0,0,0,0,0,1,2,3,2,4,1,0.21734907
30961,White,Male,18-24,7,Permanently Housed,1,0,0,0,0,1,0,0,1,2,1,3,1,0.116769046
30973,White,Female,45-59,13,Permanently Housed,1,1,0,0,0,0,1,0,2,3,4,4,1,0.22536357
30993,Latino,Male,60+,10,Permanently Housed,1,0,0,1,0,0,0,1,1,2,2,4,1,0.31150466
30999,Black,Male,18-24,11,Permanently Housed,1,0,1,0,0,1,0,0,2,3,3,3,1,0.21606293
31001,Black,Male,45-59,12,Permanently Housed,1,0,1,0,0,0,1,0,2,3,3,4,1,0.25420195
31002,Black,Male,45-59,3,Permanently Housed,1,0,1,0,0,0,1,0,1,0,2,0,1,0.2477907
31007,Black,Male,,3,Permanently Housed,1,0,1,0,0,0,0,0,1,1,0,1,1,0.21548879
31012,White,Male,45-59,8,Permanently Housed,1,0,0,0,0,0,1,0,2,2,1,3,1,0.15449207
31021,Black,Female,45-59,4,Permanently Housed,1,1,1,0,0,0,1,0,1,0,2,1,1,0.3358066
31033,Black,Female,,11,Permanently Housed,1,1,1,0,0,0,0,0,1,2,2,6,1,0.2356369
31045,Black,Male,45-59,7,Permanently Housed,1,0,1,0,0,0,1,0,1,3,1,2,1,0.22713348
31048,Latino,Female,18-24,9,Permanently Housed,1,1,0,1,0,1,0,0,2,2,3,2,1,0.20875677
31052,Black,Male,45-59,7,Permanently Housed,1,0,1,0,0,0,1,0,2,2,1,2,1,0.16925123
31054,Black,Male,18-24,12,Permanently Housed,1,0,1,0,0,1,0,0,2,1,3,6,1,0.35856062
31064,Latino,Male,18-24,4,Permanently Housed,1,0,0,1,0,1,0,0,0,1,1,2,1,0.24337961
31067,Black,Male,45-59,6,Permanently Housed,1,0,1,0,0,0,1,0,1,2,1,2,1,0.21286775
31076,Black,Male,,14,Permanently Housed,1,0,1,0,0,0,0,0,2,4,4,4,1,0.22573216
31079,Latino,Female,,12,Permanently Housed,1,1,0,1,0,0,0,0,2,4,4,2,1,0.14058088
31083,Black,Female,45-59,8,Permanently Housed,1,1,1,0,0,0,1,0,2,1,2,3,1,0.27613634
31087,Black,Female,45-59,3,Permanently Housed,1,1,1,0,0,0,1,0,1,1,0,1,1,0.3056806
